epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,600.323,3.90713,4.76179,1.84539,0.22905,0.21078,0.11274,0.02529,3.30217,2.56398,1.67538,0.00199475,0.000664917,0.00199475,0.000664917,0.00199475,0.000664917,0.00199475,0.000664917
2,966.65,3.30433,3.81762,1.38924,0.28832,0.284,0.17291,0.0401,3.17073,2.22005,1.49401,0.00397498,0.00132499,0.00397498,0.00132499,0.00397498,0.00132499,0.00397498,0.00132499
3,1284.41,3.16472,3.35358,1.35071,0.29288,0.31523,0.18482,0.04313,3.16083,2.26504,1.522,0.0059354,0.00197847,0.0059354,0.00197847,0.0059354,0.00197847,0.0059354,0.00197847
4,1566.31,3.1,3.04296,1.313,0.27458,0.31085,0.18309,0.04531,3.03803,2.09883,1.4597,0.0059109,0.0019703,0.0059109,0.0019703,0.0059109,0.0019703,0.0059109,0.0019703
5,1842.26,3.02998,2.86255,1.30685,0.27348,0.31309,0.1822,0.0436,3.05104,1.983,1.46848,0.0058812,0.0019604,0.0058812,0.0019604,0.0058812,0.0019604,0.0058812,0.0019604
6,2117.45,3.01166,2.68116,1.27606,0.27973,0.33678,0.2007,0.04882,2.96942,1.95832,1.41299,0.0058515,0.0019505,0.0058515,0.0019505,0.0058515,0.0019505,0.0058515,0.0019505
7,2392.35,2.99071,2.61073,1.26651,0.28804,0.34081,0.20558,0.05028,2.96787,1.97161,1.4076,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406
8,2666.65,2.97268,2.30381,1.26476,0.31815,0.34086,0.22055,0.05367,2.95318,1.9411,1.41933,0.0057921,0.0019307,0.0057921,0.0019307,0.0057921,0.0019307,0.0057921,0.0019307
9,2938.96,2.93739,2.15136,1.26512,0.29327,0.354,0.21512,0.0544,2.915,1.89831,1.40384,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
10,3209.16,2.94604,2.13239,1.25203,0.30811,0.3326,0.21149,0.05232,2.93213,1.89253,1.42035,0.0057327,0.0019109,0.0057327,0.0019109,0.0057327,0.0019109,0.0057327,0.0019109
11,3483.83,2.88077,2.04766,1.25398,0.30135,0.35339,0.21915,0.05252,2.97665,1.93867,1.41322,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
12,3757.27,2.86719,2.04925,1.24362,0.30392,0.34937,0.21656,0.05219,2.96588,1.92911,1.39473,0.0056733,0.0018911,0.0056733,0.0018911,0.0056733,0.0018911,0.0056733,0.0018911
13,4030.8,2.88519,1.95541,1.22826,0.3252,0.36026,0.23791,0.05792,2.87852,1.8714,1.40841,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
14,4304.15,2.83461,1.91513,1.24225,0.33415,0.36806,0.24549,0.06011,2.87885,1.86257,1.39673,0.0056139,0.0018713,0.0056139,0.0018713,0.0056139,0.0018713,0.0056139,0.0018713
15,4575.32,2.8198,1.88634,1.23802,0.32856,0.35497,0.23641,0.05721,2.91065,1.86344,1.41656,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
16,4848.61,2.83687,1.89714,1.23475,0.31261,0.36052,0.23094,0.05683,2.85514,1.80716,1.41585,0.0055545,0.0018515,0.0055545,0.0018515,0.0055545,0.0018515,0.0055545,0.0018515
17,5122.36,2.81316,1.83914,1.23228,0.32515,0.36929,0.23793,0.0583,2.86563,1.83601,1.40779,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
18,5397,2.82289,1.84982,1.21467,0.31574,0.35828,0.23482,0.05759,2.87611,1.89342,1.38057,0.0054951,0.0018317,0.0054951,0.0018317,0.0054951,0.0018317,0.0054951,0.0018317
19,5672.16,2.78751,1.83257,1.21187,0.32358,0.3725,0.24214,0.05893,2.91397,1.8304,1.41661,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
20,5948.02,2.78295,1.82324,1.22065,0.3285,0.35981,0.23925,0.05847,2.87022,1.85593,1.38644,0.0054357,0.0018119,0.0054357,0.0018119,0.0054357,0.0018119,0.0054357,0.0018119
21,6221.33,2.77542,1.77626,1.21592,0.35254,0.36674,0.25024,0.05967,2.88066,1.81841,1.4191,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
22,6496.05,2.77134,1.79789,1.20281,0.35549,0.37571,0.25935,0.06214,2.88653,1.85425,1.42134,0.0053763,0.0017921,0.0053763,0.0017921,0.0053763,0.0017921,0.0053763,0.0017921
23,6770.32,2.75808,1.77615,1.21098,0.34164,0.36348,0.2482,0.06058,2.90476,1.88937,1.4033,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
24,7045.55,2.77429,1.79326,1.22022,0.33159,0.35145,0.23872,0.05846,2.91375,1.91134,1.41914,0.0053169,0.0017723,0.0053169,0.0017723,0.0053169,0.0017723,0.0053169,0.0017723
25,7319.53,2.77768,1.77772,1.21333,0.33023,0.36776,0.24006,0.05891,2.88427,1.8541,1.4218,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
26,7591.15,2.73438,1.72433,1.20605,0.34646,0.37107,0.24979,0.05959,2.90971,1.83414,1.41302,0.0052575,0.0017525,0.0052575,0.0017525,0.0052575,0.0017525,0.0052575,0.0017525
27,7866.13,2.74781,1.72328,1.19505,0.34688,0.35415,0.24113,0.05703,2.91877,1.85154,1.43619,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
28,8138.92,2.74231,1.70718,1.20742,0.34038,0.34361,0.23682,0.05734,2.93007,1.89825,1.43299,0.0051981,0.0017327,0.0051981,0.0017327,0.0051981,0.0017327,0.0051981,0.0017327
29,8412.22,2.73493,1.70076,1.20144,0.3455,0.35573,0.2417,0.05919,2.88007,1.83293,1.40645,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
30,8686.2,2.70853,1.70346,1.20241,0.35052,0.35548,0.24623,0.05861,2.9461,1.88463,1.42989,0.0051387,0.0017129,0.0051387,0.0017129,0.0051387,0.0017129,0.0051387,0.0017129
31,8956.93,2.68598,1.65382,1.19333,0.35272,0.36042,0.24511,0.05797,2.97152,1.86261,1.43494,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
32,9229.58,2.71454,1.67983,1.19415,0.35723,0.35365,0.25164,0.06007,2.91488,1.83037,1.41693,0.0050793,0.0016931,0.0050793,0.0016931,0.0050793,0.0016931,0.0050793,0.0016931
33,9502.88,2.68459,1.65841,1.18744,0.34064,0.34824,0.23386,0.05618,3.02769,1.93653,1.44564,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
34,9775.44,2.68393,1.6498,1.18779,0.33293,0.34733,0.23578,0.0568,2.89705,1.87372,1.42375,0.0050199,0.0016733,0.0050199,0.0016733,0.0050199,0.0016733,0.0050199,0.0016733
35,10048,2.66259,1.61943,1.17586,0.34855,0.35329,0.24264,0.05813,2.94179,1.83621,1.42168,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
36,10320.4,2.66402,1.62015,1.17712,0.33845,0.35859,0.23716,0.05643,2.98385,1.86296,1.4429,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535
37,10589.7,2.65181,1.61211,1.18423,0.35297,0.35945,0.24599,0.05849,2.99974,1.83868,1.46546,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
38,10860.9,2.64357,1.59694,1.17032,0.3611,0.37071,0.25304,0.06046,2.91126,1.79382,1.43031,0.0049011,0.0016337,0.0049011,0.0016337,0.0049011,0.0016337,0.0049011,0.0016337
39,11132.7,2.63067,1.59757,1.17527,0.35626,0.35986,0.24898,0.05864,2.97083,1.8384,1.44048,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
40,11405.1,2.64547,1.57489,1.17676,0.35791,0.34687,0.24347,0.05803,3.0296,1.85348,1.49488,0.0048417,0.0016139,0.0048417,0.0016139,0.0048417,0.0016139,0.0048417,0.0016139
41,11677.3,2.61988,1.57018,1.18304,0.3634,0.35609,0.24748,0.05846,2.97009,1.86258,1.45003,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
42,11946.6,2.61543,1.58482,1.1665,0.37287,0.36246,0.2543,0.0603,2.95833,1.79607,1.44143,0.0047823,0.0015941,0.0047823,0.0015941,0.0047823,0.0015941,0.0047823,0.0015941
43,12218.1,2.60602,1.55088,1.16753,0.36842,0.35996,0.25605,0.06016,2.98474,1.82863,1.44577,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
44,12490.2,2.6121,1.56744,1.17157,0.38294,0.37341,0.26193,0.06178,2.96554,1.78973,1.431,0.0047229,0.0015743,0.0047229,0.0015743,0.0047229,0.0015743,0.0047229,0.0015743
45,12763.4,2.58922,1.53262,1.16502,0.36929,0.36105,0.25739,0.06267,2.98186,1.81821,1.45699,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
46,13036.7,2.59482,1.52573,1.16471,0.35867,0.35339,0.2462,0.05914,3.02359,1.80559,1.45774,0.0046635,0.0015545,0.0046635,0.0015545,0.0046635,0.0015545,0.0046635,0.0015545
47,13307.4,2.58454,1.51681,1.17436,0.37256,0.36144,0.25846,0.06116,2.98885,1.79892,1.45899,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
48,13581,2.57895,1.51868,1.15897,0.37491,0.36399,0.25967,0.06156,2.96225,1.79432,1.4449,0.0046041,0.0015347,0.0046041,0.0015347,0.0046041,0.0015347,0.0046041,0.0015347
49,13854.8,2.54883,1.48775,1.15316,0.3923,0.37336,0.27089,0.06495,3.04482,1.77148,1.4833,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
50,14127.5,2.58152,1.50808,1.1534,0.37572,0.36186,0.26374,0.06324,2.95072,1.78743,1.43405,0.0045447,0.0015149,0.0045447,0.0015149,0.0045447,0.0015149,0.0045447,0.0015149
51,14401.3,2.5504,1.48546,1.15653,0.37649,0.35553,0.25603,0.06168,3.04398,1.85079,1.48208,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
52,14675.5,2.57529,1.49881,1.15222,0.3816,0.35716,0.26266,0.06208,2.96497,1.78203,1.4472,0.0044853,0.0014951,0.0044853,0.0014951,0.0044853,0.0014951,0.0044853,0.0014951
53,14947.3,2.55016,1.47856,1.1503,0.37645,0.35813,0.26003,0.0626,2.98646,1.81581,1.46296,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
54,15220,2.55804,1.47816,1.14706,0.36545,0.34442,0.24283,0.0564,3.06327,1.81207,1.48844,0.0044259,0.0014753,0.0044259,0.0014753,0.0044259,0.0014753,0.0044259,0.0014753
55,15494.1,2.54678,1.47825,1.15437,0.35429,0.3487,0.24637,0.05813,3.0558,1.85717,1.46132,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
56,15767.5,2.52501,1.47244,1.14724,0.3662,0.35064,0.25352,0.06045,3.0292,1.83763,1.47192,0.0043665,0.0014555,0.0043665,0.0014555,0.0043665,0.0014555,0.0043665,0.0014555
57,16041.3,2.52678,1.46983,1.14201,0.36632,0.35049,0.24892,0.05973,3.06131,1.79345,1.49098,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
