epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,732.238,3.486,3.78573,1.6109,0.09239,0.20625,0.05221,0.01382,3.22208,2.69327,1.23079,0.00199465,0.000664884,0.00199465,0.000664884,0.00199465,0.000664884,0.00199465,0.000664884
2,1208.8,3.08977,2.89365,1.33684,0.19002,0.31062,0.11555,0.03181,2.89608,2.12558,1.31455,0.00397488,0.00132496,0.00397488,0.00132496,0.00397488,0.00132496,0.00397488,0.00132496
3,1588.72,2.99208,2.66315,1.31836,0.22455,0.39923,0.15411,0.04322,2.73442,2.05152,1.31791,0.00593531,0.00197844,0.00593531,0.00197844,0.00593531,0.00197844,0.00593531,0.00197844
4,1958.16,2.99739,2.38158,1.32825,0.14179,0.30232,0.08839,0.02405,2.82428,2.16592,1.31384,0.0059109,0.0019703,0.0059109,0.0019703,0.0059109,0.0019703,0.0059109,0.0019703
5,2311.85,2.90635,2.1874,1.30694,0.18803,0.36264,0.11349,0.03227,2.74028,1.90248,1.33249,0.0058812,0.0019604,0.0058812,0.0019604,0.0058812,0.0019604,0.0058812,0.0019604
6,2663.51,2.92877,2.07756,1.31004,0.23689,0.39225,0.15544,0.04198,2.73121,1.88126,1.35779,0.0058515,0.0019505,0.0058515,0.0019505,0.0058515,0.0019505,0.0058515,0.0019505
7,3013.37,2.8595,2.00328,1.29062,0.19033,0.35995,0.11272,0.03202,2.70234,1.8755,1.30743,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406
8,3362,2.87491,1.92902,1.28893,0.22079,0.41175,0.1403,0.03971,2.65076,1.78892,1.32275,0.0057921,0.0019307,0.0057921,0.0019307,0.0057921,0.0019307,0.0057921,0.0019307
9,3708.93,2.84817,1.89997,1.29731,0.23315,0.4243,0.15223,0.04309,2.65858,1.7622,1.33015,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
10,4046.07,2.84193,1.88258,1.27142,0.18663,0.35939,0.11476,0.03261,2.6826,1.92926,1.3079,0.0057327,0.0019109,0.0057327,0.0019109,0.0057327,0.0019109,0.0057327,0.0019109
11,4381.67,2.81204,1.83727,1.2889,0.3648,0.48354,0.29731,0.07998,2.60814,1.66985,1.3145,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
12,4719.86,2.80547,1.81129,1.27257,0.22208,0.39461,0.14342,0.04062,2.64563,1.79378,1.28706,0.0056733,0.0018911,0.0056733,0.0018911,0.0056733,0.0018911,0.0056733,0.0018911
13,5056.51,2.80654,1.82778,1.26208,0.32858,0.47561,0.26653,0.07337,2.58602,1.72787,1.3078,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
14,5394.72,2.80251,1.81148,1.26915,0.34364,0.48422,0.28701,0.07847,2.60792,1.70215,1.30077,0.0056139,0.0018713,0.0056139,0.0018713,0.0056139,0.0018713,0.0056139,0.0018713
15,5730,2.78262,1.81879,1.27332,0.22317,0.39517,0.15153,0.04229,2.68013,1.80634,1.29363,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
16,6065.96,2.77198,1.79795,1.25902,0.37158,0.49556,0.31185,0.08454,2.58534,1.71709,1.30505,0.0055545,0.0018515,0.0055545,0.0018515,0.0055545,0.0018515,0.0055545,0.0018515
17,6405.49,2.74502,1.8117,1.25263,0.26818,0.42879,0.1958,0.05315,2.69088,1.75633,1.30341,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
18,6736.45,2.75956,1.83064,1.2469,0.24114,0.41483,0.16872,0.04854,2.62733,1.76056,1.31062,0.0054951,0.0018317,0.0054951,0.0018317,0.0054951,0.0018317,0.0054951,0.0018317
19,7071.68,2.76032,1.84245,1.2528,0.39481,0.50531,0.36444,0.10706,2.60125,1.65073,1.32146,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
20,7408.9,2.75373,1.84175,1.24739,0.33498,0.47636,0.27465,0.0779,2.5704,1.72312,1.28511,0.0054357,0.0018119,0.0054357,0.0018119,0.0054357,0.0018119,0.0054357,0.0018119
21,7742.35,2.75719,1.75852,1.24192,0.36332,0.49468,0.31081,0.08614,2.58274,1.62794,1.30405,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
22,8081.21,2.7349,1.76245,1.23544,0.30321,0.44743,0.23634,0.06548,2.6189,1.71829,1.29549,0.0053763,0.0017921,0.0053763,0.0017921,0.0053763,0.0017921,0.0053763,0.0017921
23,8417.43,2.75151,1.77821,1.24279,0.29104,0.44213,0.23407,0.06424,2.62463,1.73826,1.27386,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
24,8753.04,2.72247,1.76088,1.23698,0.39758,0.48259,0.35631,0.10283,2.59731,1.63172,1.29888,0.0053169,0.0017723,0.0053169,0.0017723,0.0053169,0.0017723,0.0053169,0.0017723
25,9091.69,2.71024,1.71854,1.236,0.37328,0.48836,0.32424,0.09092,2.61405,1.67908,1.30271,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
26,9440.76,2.70545,1.69366,1.22398,0.36566,0.48816,0.31633,0.08857,2.61089,1.65076,1.30056,0.0052575,0.0017525,0.0052575,0.0017525,0.0052575,0.0017525,0.0052575,0.0017525
27,9813.8,2.7086,1.71057,1.22168,0.39682,0.49841,0.35405,0.10205,2.58996,1.62442,1.30079,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
28,10150.7,2.71906,1.6732,1.22149,0.40352,0.48675,0.34906,0.09514,2.58905,1.63293,1.27874,0.0051981,0.0017327,0.0051981,0.0017327,0.0051981,0.0017327,0.0051981,0.0017327
29,10486.4,2.69326,1.63678,1.21625,0.3892,0.48789,0.33166,0.09519,2.59537,1.60879,1.30007,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
30,10823.5,2.67498,1.62641,1.20968,0.41118,0.4877,0.35646,0.09857,2.60341,1.62346,1.27472,0.0051387,0.0017129,0.0051387,0.0017129,0.0051387,0.0017129,0.0051387,0.0017129
31,11157.8,2.66822,1.67942,1.21997,0.41328,0.51011,0.36726,0.10406,2.60588,1.61053,1.29017,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
32,11491.8,2.65321,1.60602,1.20832,0.36034,0.46571,0.29463,0.08139,2.62786,1.63749,1.28788,0.0050793,0.0016931,0.0050793,0.0016931,0.0050793,0.0016931,0.0050793,0.0016931
33,11829.5,2.67313,1.61141,1.21539,0.43751,0.50306,0.37965,0.10511,2.61911,1.6007,1.29405,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
34,12163.1,2.64929,1.60197,1.20887,0.34312,0.44999,0.27621,0.075,2.64969,1.65462,1.29002,0.0050199,0.0016733,0.0050199,0.0016733,0.0050199,0.0016733,0.0050199,0.0016733
35,12495.8,2.64643,1.60706,1.20649,0.43762,0.51109,0.38107,0.10558,2.64041,1.61035,1.2962,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
36,12831.4,2.64115,1.55358,1.20175,0.43428,0.50562,0.37623,0.10318,2.62848,1.61108,1.28862,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535
37,13168.6,2.62462,1.56785,1.19896,0.38708,0.48747,0.31589,0.08555,2.61465,1.65735,1.28448,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
